Ｓｔａｔｉｏｎ
Higashimikuni
Shin-Osaka
Nishinakajima-Minamigata
Nakatsu
Umeda
Yodoyabashi
Hommachi
Shinsaibashi
Namba
Daikokucho
Dobutsuen-mae
Tennoji
Showacho
Nishitanabe
Nagai
Abiko
Kitahanada
Shinkanaoka
Moriguchi
Taishibashi-Imaichi
Sembayashi-Omiya
Sekime-Takadono
Noe-Uchindai
Miyakojima
Tenjimbashisuji 6-chome
Nakazakicho
Higashi-Umeda
Minamimorimachi
Temmabashi
Tanimachi 4-chome
Tanimachi 6-chome
Tanimachi 9-chome
Shitennoji-mae Yuhigaoka
Tennoji
Abeno
Fuminosato
Tanabe
Komagawa-Nakano
Hirano
Kire-Uriwari
Deto
Nagahara
Yao-minami
Higobashi
Hommachi
Yotsubashi
Namba
Daikokucho
Hanazonocho
Kishinosato
Tamade
Kitakagaya
Suminoekoen
mosquare
Osakako
Asashiobashi
Bentencho
Kujo
Awaza
Hommachi
Sakaisuji-Hommachi
Tanimachi 4-chome
Morinomiya
Midoribashi
Fukaebashi
Takaida
Nagata
Tamagawa
Awaza
Nishinagahori
Sakuragawa
Namba
Nippombashi
Tanimachi 9-chome
Tsuruhashi
Imazato
Shin-Fukae
Shoji
Kita-Tatsumi
Minami-Tatsum
Ogimachi
Minamimorimachi
Kitahama
Sakaisuji-Hommachi
Nagahoribashi
Nippombashi
Ebisucho
Dobutsuen-mae
Tengachaya
Dome-mae Chiyozaki
Nishinagahori
Nishiohashi
Shinsaibashi
Nagahoribashi
Matsuyamachi
Tanimachi 6-chome
Tamatsukuri
Morinomiya
Osaka Business Park
Kyobashi
Gamo 4-chome
Imafuku-Tsurumi
Yokozutsumi
Tsurumi-ryokuchi
Kadoma-minami
Zuiko 4-chome
Daido-Toyosato
Taishibashi-Imaichi
Shimizu
Shimmori-Furuichi
Sekime-Seiiku
Gamo 4-chome
Shigino
Midoribashi
Imazato
Trade Center-mae
Nakafuto
Port Town-nishi
Port Town-higashi
Ferry Terminal
Nanko-higashi
Nanko-guchi
Hirabayashi
Suminoekoen
